channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id,cleaned_text,Topic_Category,cleaned_comment,sentiment_result,sentiment_score,sentiment_bucket,sentiment_score_raw,sentiment_label_raw,comment_weight,impact_weighted_sentiment
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe1RzKRBha,"Did you ever thought about looking into Islam what kind of life purpose Muslims have ? Maybe look into that I hope you can bring someone on your show as well who is Muslim. And they can share with everyone. 

And I did not create the jinn and mankind except to worship Me.” (Qur’an 51:56)",@786pathani,UCHrhloNrF6MOtqBy4VkK4Zw,1,2025-09-29T08:50:40Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"did you ever thought about looking into islam what kind of life purpose muslims have ? maybe look into that i hope you can bring someone on your show as well who is muslim. and they can share with everyone. 

and i did not create the jinn and mankind except to worship me. (quran 51:56)",religion / spirituality,"did you ever thought about looking into islam what kind of life purpose muslims have ? maybe look into that i hope you can bring someone on your show as well who is muslim. and they can share with everyone. 

and i did not create the jinn and mankind except to worship me. (quran 51:56)","{'score': 0.54, 'category': 'Positive', 'score_raw': 0.54, 'category_raw': 'Neutral'}",0.54,Positive,0.54,Neutral,1.2,0.648
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe4wTqKjBl,We Love this shit man!,@CrackedCanvasCommunity,UCTNnshfGEM6OLgb4weU4ScQ,0,2025-09-29T09:21:11Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,we love this shit man!,religion / spirituality,we love this shit man!,"{'score': 0.5, 'category': 'Positive', 'score_raw': 0.5, 'category_raw': 'Neutral'}",0.5,Positive,0.5,Neutral,1.0,0.5
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5VgujWwK,Very western centric lense,@Freepal3st1n3,UC8jCUDEl2M2wiSPq64tQxnQ,2,2025-09-29T09:26:08Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,very western centric lense,religion / spirituality,very western centric lense,"{'score': 0.2, 'category': 'Positive', 'score_raw': 0.2, 'category_raw': 'Neutral'}",0.2,Positive,0.2,Neutral,1.2,0.24
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5rr-loyI,Love them,@SaintAndScholar,UCvs0veiCCUKcS_KLTBqDbeQ,0,2025-09-29T09:29:17Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,love them,religion / spirituality,love them,"{'score': 1.0, 'category': 'Super Positive', 'score_raw': 1.0, 'category_raw': 'Positive'}",1.0,Super Positive,1.0,Positive,1.0,1.0
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3-3JRFd,This was great to watch,@TheTourGuidesLunch,UCBbMlberQSjEwU5mqktqUow,0,2025-09-29T10:05:54Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,this was great to watch,religion / spirituality,this was great to watch,"{'score': 0.8, 'category': 'Super Positive', 'score_raw': 0.8, 'category_raw': 'Positive'}",0.8,Super Positive,0.8,Positive,1.0,0.8
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3cQHb5k,YESSSSSSSS​@@danicapaulos2347,@Zackarius,UC0Gzga70Aa34AG0h0tGmhtg,0,2025-09-29T10:05:59Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yessssssss@,religion / spirituality,yessssssss@,"{'score': 0.0, 'category': 'Neutral', 'score_raw': 0.0, 'category_raw': 'Neutral'}",0.0,Neutral,0.0,Neutral,1.0,0.0
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeC92DS6XN,Debates are always better than a 1 on 1 convo.,@hmmm6211,UChKpiuelHM3QIyti2qCmwBw,0,2025-09-29T10:24:12Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,debates are always better than a 1 on 1 convo.,religion / spirituality,debates are always better than a 1 on 1 convo.,"{'score': 0.75, 'category': 'Positive', 'score_raw': 0.75, 'category_raw': 'Neutral'}",0.75,Positive,0.75,Neutral,1.0,0.75
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeCfialE3v,"What I *dont* like is having to skip the first 2:00 of all of your videos.
🥲",@matt1871,UCafAJWEHeSx_Ri39APD5znw,0,2025-09-29T10:28:48Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,what i *dont* like is having to skip the first 2:00 of all of your videos.,religion / spirituality,what i *dont* like is having to skip the first 2:00 of all of your videos.,"{'score': 0.14, 'category': 'Neutral', 'score_raw': 0.14, 'category_raw': 'Neutral'}",0.14,Neutral,0.14,Neutral,1.0,0.14
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeCr7M_84s,"This was a very stvpid and uninformed conversation, gfy",@DucksWhy,UC6rNALUc3-8c65h06e3YgDA,1,2025-09-29T10:30:21Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"this was a very stvpid and uninformed conversation, gfy",religion / spirituality,"this was a very stvpid and uninformed conversation, gfy","{'score': -0.666, 'category': 'Negative', 'score_raw': -0.666, 'category_raw': 'Neutral'}",-0.666,Negative,-0.666,Neutral,1.2,-0.7992
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeDPAPYVb7,​@@Little_Shadow_Please reconsider how you are presenting your opinion. Perhaps it comes across as intending to be hurtful.,@tygulick,UC13uc3y_OYUgoVCDTpJLHAA,0,2025-09-29T10:35:08Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ reconsider how you are presenting your opinion. perhaps it comes across as intending to be hurtful.,religion / spirituality,@ reconsider how you are presenting your opinion. perhaps it comes across as intending to be hurtful.,"{'score': 0.2, 'category': 'Positive', 'score_raw': 0.2, 'category_raw': 'Neutral'}",0.2,Positive,0.2,Neutral,1.0,0.2
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEAN_U2M6,⁠@@Little_Shadow_has been since episode two.,@cellardoor-,UCuI8IoW5sIBSfMpgZEAzEBg,1,2025-09-29T10:41:51Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ been since episode two.,religion / spirituality,@ been since episode two.,"{'score': 0.5, 'category': 'Positive', 'score_raw': 0.5, 'category_raw': 'Neutral'}",0.5,Positive,0.5,Neutral,1.2,0.6
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEVlPdTsZ,LOVE THEM,@Thesingledad1979,UCfRwljO2pFC7wRLq_w6K_KQ,0,2025-09-29T10:44:47Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,love them,religion / spirituality,love them,"{'score': 1.0, 'category': 'Super Positive', 'score_raw': 1.0, 'category_raw': 'Positive'}",1.0,Super Positive,1.0,Positive,1.0,1.0
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEew42EQ2,The format is great! The guest… please please don’t bring mental masturbators. Everyone can listen to 100videos of Alex arguing always the same. What the psychiatrist and the Christian gentleman sometimes get the opportunity to communicate is really interesting.,@cristinabarrera9514,UCHz3F1b32s-CbJmWhw-8Frw,0,2025-09-29T10:46:10Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,the format is great! the guest please please dont bring mental masturbators. everyone can listen to 100videos of alex arguing always the same. what the psychiatrist and the christian gentleman sometimes get the opportunity to communicate is really interesting.,religion / spirituality,the format is great! the guest please please dont bring mental masturbators. everyone can listen to 100videos of alex arguing always the same. what the psychiatrist and the christian gentleman sometimes get the opportunity to communicate is really interesting.,"{'score': 0.67, 'category': 'Positive', 'score_raw': 0.67, 'category_raw': 'Positive'}",0.67,Positive,0.67,Positive,1.0,0.67
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeFX629Fhf,religion wont bring you purpose knowing there is no purpose is the purpose itself as you can give yourswlf a purpose not get one from sky daddy,@whhhaaaaahhhhhaaahaa,UCW0QkGfD25fqyRjt1IID-8g,0,2025-09-29T10:53:42Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,religion wont bring you purpose knowing there is no purpose is the purpose itself as you can give yourswlf a purpose not get one from sky daddy,religion / spirituality,religion wont bring you purpose knowing there is no purpose is the purpose itself as you can give yourswlf a purpose not get one from sky daddy,"{'score': 0.75, 'category': 'Positive', 'score_raw': 0.75, 'category_raw': 'Positive'}",0.75,Positive,0.75,Positive,1.0,0.75
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeHkmZep2A,"The choice of people, the forms of respect and the way everything unfolded. No words, keep up these types of conversations and the work!",@Kiriun111,UCzmi5V3gfQ_3fKHNXe6wCSw,0,2025-09-29T11:13:11Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"the choice of people, the forms of respect and the way everything unfolded. no words, keep up these types of conversations and the work!",religion / spirituality,"the choice of people, the forms of respect and the way everything unfolded. no words, keep up these types of conversations and the work!","{'score': 0.75, 'category': 'Positive', 'score_raw': 0.75, 'category_raw': 'Positive'}",0.75,Positive,0.75,Positive,1.0,0.75
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeHll5FOd0,Yes! Fantastic format love Dr Ks instinct to really understand the others and the purpose of the conversation 🎉,@MariaRose360,UCXyuET3vCUoATTKzqrAbxcQ,0,2025-09-29T11:13:19Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes! fantastic format love dr ks instinct to really understand the others and the purpose of the conversation,religion / spirituality,yes! fantastic format love dr ks instinct to really understand the others and the purpose of the conversation,"{'score': 0.8, 'category': 'Super Positive', 'score_raw': 0.8, 'category_raw': 'Positive'}",0.8,Super Positive,0.8,Positive,1.0,0.8
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeI8t4Z0Yi,Yes,@JohnGaray,UCEwd8GbR4I3zbtDTaCJqegg,0,2025-09-29T11:16:37Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes,religion / spirituality,yes,"{'score': 0.5, 'category': 'Positive', 'score_raw': 0.8, 'category_raw': 'Neutral'}",0.5,Positive,0.8,Neutral,1.0,0.5
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeIOUTd4F4,More of this please ❤,@naderabegumruma7081,UC0FQ2hFrgNAQmhxPAtzxwxw,0,2025-09-29T11:18:44Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,more of this please,religion / spirituality,more of this please,"{'score': 0.32, 'category': 'Positive', 'score_raw': 0.32, 'category_raw': 'Neutral'}",0.32,Positive,0.32,Neutral,1.0,0.32
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeImbj7mLZ,"I've been subscribed and listening to your podcasts a while now. This was one of the most profound for me. Yes, please do more like this.",@abaneyone,UCm5a-OHkhpBvg75lWpFPJlw,0,2025-09-29T11:22:10Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i've been subscribed and listening to your podcasts a while now. this was one of the most profound for me. yes, please do more like this.",religion / spirituality,"i've been subscribed and listening to your podcasts a while now. this was one of the most profound for me. yes, please do more like this.","{'score': 0.8, 'category': 'Super Positive', 'score_raw': 0.8, 'category_raw': 'Positive'}",0.8,Super Positive,0.8,Positive,1.0,0.8
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeKdFTL5ZT,Keep this up👍🏾🙏🏽,@kingdrippygames,UCL9DTqX9C64Ixwg3Mc9uw2w,0,2025-09-29T11:38:22Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,keep this up,religion / spirituality,keep this up,"{'score': 0.78, 'category': 'Super Positive', 'score_raw': 0.78, 'category_raw': 'Neutral'}",0.78,Super Positive,0.78,Neutral,1.0,0.78
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeL89M-Xe5,"Yes, love it. It is very importance to show that people can have different belief and discuss it without hate",@birdwoman11,UC0V2UH600T1ewELKV6NtRgw,0,2025-09-29T11:42:43Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"yes, love it. it is very importance to show that people can have different belief and discuss it without hate",religion / spirituality,"yes, love it. it is very importance to show that people can have different belief and discuss it without hate","{'score': 0.5, 'category': 'Positive', 'score_raw': 0.8, 'category_raw': 'Positive'}",0.5,Positive,0.8,Positive,1.0,0.5
